ngram,doc_freq,doc_freq_ratio
"('VERB', 'conj', 'AUX', 'acomp', 'ADJ')",605,0.03025
"('ADP', 'pcomp', 'VERB', 'prep', 'ADP', 'pobj', 'NOUN')",604,0.0302
"('AUX', 'nsubj', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",602,0.0301
"('ADP', 'pobj', 'NOUN', 'poss', 'NOUN', 'case', 'PART')",601,0.03005
"('AUX', 'attr', 'PRON')",601,0.03005
"('VERB', 'advcl', 'AUX', 'nsubj', 'PRON')",596,0.0298
"('AUX', 'xcomp', 'VERB')",588,0.0294
"('VERB', 'prep', 'ADP', 'prep', 'ADP', 'pobj', 'NOUN')",580,0.029
"('VERB', 'dobj', 'NOUN', 'prep', 'ADP', 'pobj', 'PROPN')",578,0.0289
"('VERB', 'advcl', 'VERB', 'dobj', 'NOUN', 'poss', 'PRON')",577,0.02885
"('AUX', 'punct', 'PUNCT', 'dep', 'SPACE')",573,0.02865
"('ADJ', 'prep', 'ADP', 'pobj', 'PRON')",570,0.0285
"('NOUN', 'relcl', 'AUX')",569,0.02845
"('ADP', 'pobj', 'NOUN', 'prep', 'ADP', 'pobj', 'PRON')",568,0.0284
"('ADP', 'pobj', 'NOUN', 'amod', 'ADJ', 'cc', 'CCONJ')",567,0.02835
"('VERB', 'ccomp', 'VERB', 'xcomp', 'VERB')",564,0.0282
"('AUX', 'ccomp', 'VERB', 'nsubj', 'PRON')",564,0.0282
"('AUX', 'acomp', 'ADJ', 'xcomp', 'VERB')",560,0.028
"('NOUN', 'amod', 'VERB', 'advmod', 'ADV')",558,0.0279
"('ADP', 'pobj', 'NOUN', 'relcl', 'VERB', 'dobj', 'NOUN')",553,0.02765
"('AUX', 'attr', 'NOUN', 'punct', 'PUNCT')",552,0.0276
"('AUX', 'xcomp', 'VERB', 'aux', 'PART')",552,0.0276
"('PROPN', 'prep', 'ADP', 'pobj', 'PROPN')",550,0.0275
