ngram,doc_freq,doc_freq_ratio
"('NOUN', 'PRON', 'AUX')",1904,0.0952
"('AUX', 'ADV', 'VERB')",1897,0.09485
"('SCONJ', 'DET', 'NOUN')",1885,0.09425
"('ADP', 'ADJ', 'NOUN', 'PUNCT')",1871,0.09355
"('PRON', 'AUX', 'VERB', 'ADP')",1866,0.0933
"('DET', 'ADJ', 'ADJ')",1864,0.0932
"('VERB', 'ADV', 'ADP')",1864,0.0932
"('PART', 'VERB', 'ADP')",1853,0.09265
"('PUNCT', 'DET', 'ADJ')",1838,0.0919
"('PUNCT', 'PUNCT', 'PRON', 'AUX')",1832,0.0916
"('PUNCT', 'DET', 'NOUN', 'AUX')",1811,0.09055
"('NOUN', 'PUNCT', 'SCONJ')",1806,0.0903
"('CCONJ', 'NOUN', 'PUNCT')",1801,0.09005
"('CCONJ', 'PRON', 'AUX')",1786,0.0893
"('CCONJ', 'PRON', 'VERB')",1781,0.08905
"('DET', 'ADJ', 'PUNCT')",1755,0.08775
"('PRON', 'PUNCT', 'PUNCT')",1754,0.0877
"('PRON', 'VERB', 'ADV')",1734,0.0867
"('PUNCT', 'PRON', 'VERB', 'DET')",1730,0.0865
"('ADJ', 'NOUN', 'PUNCT', 'PRON')",1728,0.0864
"('ADJ', 'ADP', 'DET')",1727,0.08635
"('ADP', 'NUM')",1727,0.08635
"('PRON', 'AUX', 'AUX')",1708,0.0854
"('NOUN', 'PART', 'VERB')",1700,0.085
"('DET', 'NOUN', 'PUNCT', 'CCONJ')",1698,0.0849
"('AUX', 'ADP')",1685,0.08425
"('VERB', 'ADP', 'ADP')",1681,0.08405
"('NOUN', 'PUNCT', 'ADP', 'DET')",1679,0.08395
"('PUNCT', 'DET', 'NOUN', 'VERB')",1674,0.0837
"('ADJ', 'CCONJ', 'ADJ')",1661,0.08305
"('PUNCT', 'PRON', 'VERB', 'PRON')",1648,0.0824
"('PUNCT', 'ADV', 'PUNCT')",1640,0.082
"('ADJ', 'NOUN', 'PUNCT', 'CCONJ')",1632,0.0816
"('VERB', 'CCONJ')",1630,0.0815
"('PUNCT', 'CCONJ', 'VERB')",1630,0.0815
"('ADJ', 'NOUN', 'ADP', 'NOUN')",1624,0.0812
"('DET', 'NOUN', 'PUNCT', 'DET')",1623,0.08115
"('PUNCT', 'PROPN', 'PROPN')",1623,0.08115
"('ADV', 'PUNCT', 'PUNCT')",1615,0.08075
"('PRON', 'AUX', 'ADJ')",1601,0.08005
"('NOUN', 'PUNCT', 'VERB', 'ADP')",1597,0.07985
"('PUNCT', 'PRON', 'VERB', 'PUNCT')",1589,0.07945
"('PROPN', 'PUNCT', 'PRON')",1588,0.0794
"('AUX', 'DET', 'NOUN')",1583,0.07915
"('DET', 'NOUN', 'NOUN', 'PUNCT')",1578,0.0789
"('DET', 'NOUN', 'VERB', 'ADP')",1575,0.07875
"('PRON', 'VERB', 'PART')",1558,0.0779
"('PUNCT', 'VERB', 'PRON')",1554,0.0777
"('CCONJ', 'PROPN')",1552,0.0776
"('PRON', 'ADP', 'DET')",1551,0.07755
"('AUX', 'ADV', 'ADJ')",1545,0.07725
"('NOUN', 'CCONJ', 'NOUN', 'PUNCT')",1544,0.0772
"('AUX', 'AUX', 'VERB')",1544,0.0772
"('AUX', 'ADJ', 'PUNCT')",1534,0.0767
"('PRON', 'AUX', 'VERB', 'PRON')",1533,0.07665
"('ADP', 'NOUN', 'ADP', 'DET')",1528,0.0764
