ngram,doc_freq,doc_freq_ratio
"('conj', 'nsubjpass')",495,0.02475
"('ccomp', 'nsubj', 'prep')",491,0.02455
"('prep', 'pobj', 'conj', 'conj')",490,0.0245
"('prep', 'pobj', 'conj', 'punct')",489,0.02445
"('xcomp', 'dobj', 'prep')",489,0.02445
"('ccomp', 'ccomp', 'aux')",489,0.02445
"('attr', 'poss')",486,0.0243
"('xcomp', 'prep', 'pobj', 'amod')",485,0.02425
"('conj', 'ccomp', 'aux')",481,0.02405
"('pobj', 'advmod')",479,0.02395
"('dobj', 'acl', 'prep')",479,0.02395
"('ccomp', 'nsubj', 'prep', 'pobj')",478,0.0239
"('advcl', 'neg')",474,0.0237
"('ccomp', 'acomp', 'advmod')",474,0.0237
"('pcomp', 'prep', 'pobj', 'det')",472,0.0236
"('dobj', 'prep', 'pobj', 'cc')",469,0.02345
"('xcomp', 'dobj', 'prep', 'pobj')",469,0.02345
"('prep', 'pobj', 'conj', 'compound')",467,0.02335
"('ccomp', 'prep', 'pobj', 'poss')",465,0.02325
"('ccomp', 'ccomp', 'dobj')",464,0.0232
"('prep', 'pobj', 'advmod')",463,0.02315
"('attr', 'acl')",463,0.02315
"('ccomp', 'conj', 'dobj')",461,0.02305
"('advcl', 'prep', 'pobj', 'compound')",461,0.02305
"('conj', 'conj', 'conj')",459,0.02295
"('ccomp', 'prt')",459,0.02295
"('xcomp', 'ccomp')",459,0.02295
"('conj', 'nsubj', 'amod')",455,0.02275
"('ccomp', 'dobj', 'poss')",453,0.02265
"('poss', 'compound')",452,0.0226
"('ccomp', 'xcomp', 'dobj')",452,0.0226
"('advcl', 'conj', 'dobj')",451,0.02255
"('pobj', 'compound', 'amod')",447,0.02235
"('dobj', 'acl', 'prep', 'pobj')",446,0.0223
"('ccomp', 'advcl', 'aux')",445,0.02225
"('conj', 'dobj', 'compound')",444,0.0222
"('conj', 'conj', 'amod')",442,0.0221
"('advcl', 'conj', 'prep')",442,0.0221
"('relcl', 'dobj', 'amod')",441,0.02205
"('pobj', 'prep', 'pobj', 'relcl')",440,0.022
"('relcl', 'conj')",438,0.0219
"('conj', 'prep', 'pobj', 'punct')",437,0.02185
"('pcomp', 'advmod')",437,0.02185
"('npadvmod', 'punct')",436,0.0218
"('relcl', 'prep', 'pobj', 'amod')",434,0.0217
"('xcomp', 'attr')",433,0.02165
"('ccomp', 'conj', 'nsubj')",433,0.02165
"('ccomp', 'attr', 'prep')",432,0.0216
"('pobj', 'conj', 'cc')",431,0.02155
"('dobj', 'prep', 'pobj', 'punct')",431,0.02155
"('conj', 'ccomp', 'prep')",431,0.02155
"('prep', 'pobj', 'compound', 'amod')",428,0.0214
"('nsubjpass', 'poss')",428,0.0214
"('prep', 'cc')",428,0.0214
"('advcl', 'dobj', 'compound')",427,0.02135
"('xcomp', 'dobj', 'poss')",426,0.0213
"('attr', 'relcl', 'aux')",425,0.02125
"('nsubjpass', 'compound')",425,0.02125
"('prep', 'pcomp', 'advmod')",425,0.02125
"('relcl', 'xcomp', 'aux')",422,0.0211
"('conj', 'conj', 'advmod')",418,0.0209
