ngram,doc_freq,doc_freq_ratio,doc_freq_diff
com,3293,0.16465,0.33535000000000004
per,3290,0.1645,0.3355
ty,3278,0.1639,0.3361
our,3277,0.16385,0.33615
ia,3275,0.16375,0.33625
ay ,3274,0.1637,0.3363
ent ,3270,0.1635,0.3365
 ne,3265,0.16325,0.33675
ring,3262,0.1631,0.3369
hou,3260,0.163,0.33699999999999997
der,3256,0.1628,0.3372
ugh,3255,0.16275,0.33725
n h,3246,0.1623,0.3377
are ,3245,0.16225,0.33775
", th",3242,0.1621,0.3379
ite,3237,0.16185,0.33815
 a s,3234,0.1617,0.3383
one ,3233,0.16165,0.33835000000000004
ed a,3231,0.16155,0.33845000000000003
ei,3223,0.16115,0.33885
ep,3221,0.16105,0.33895
ive,3218,0.1609,0.3391
hen,3212,0.1606,0.33940000000000003
re,16788,0.8394,0.33940000000000003
ru,3209,0.16045,0.33955
e g,3208,0.1604,0.3396
han,3206,0.1603,0.3397
dr,3206,0.1603,0.3397
", s",3202,0.1601,0.3399
ef,3199,0.15995,0.34004999999999996
ter ,3196,0.1598,0.3402
 o,16808,0.8404,0.34040000000000004
"r,",3180,0.159,0.34099999999999997
n o,3179,0.15895,0.34104999999999996
ding,3178,0.1589,0.34109999999999996
th a,3177,0.15885,0.34115
 mi,3177,0.15885,0.34115
oul,3173,0.15865,0.34135
t of,3163,0.15815,0.34185
ree,3161,0.15805,0.34195
s. ,3160,0.158,0.34199999999999997
 ou,3157,0.15785,0.34215
"y,",3157,0.15785,0.34215
tur,3153,0.15765,0.34235
 are,3132,0.1566,0.34340000000000004
ine,3132,0.1566,0.34340000000000004
str,3130,0.1565,0.3435
 j,3125,0.15625,0.34375
h t,3124,0.1562,0.3438
e an,3118,0.1559,0.34409999999999996
be ,3117,0.15585,0.34415
nde,3110,0.1555,0.34450000000000003
nd,16890,0.8445,0.34450000000000003
by ,3108,0.1554,0.3446
r th,3108,0.1554,0.3446
"n, ",3100,0.155,0.345
ok,3094,0.1547,0.3453
u ,3082,0.1541,0.3459
", i",3082,0.1541,0.3459
ck ,3080,0.154,0.346
and a,3078,0.1539,0.34609999999999996
kin,3070,0.1535,0.34650000000000003
n w,3065,0.15325,0.34675
 po,3060,0.153,0.347
uld,3060,0.153,0.347
ave ,3058,0.1529,0.34709999999999996
rom,3053,0.15265,0.34735
 ro,3052,0.1526,0.3474
t of ,3052,0.1526,0.3474
".""",3052,0.1526,0.3474
not ,3052,0.1526,0.3474
ould,3049,0.15245,0.34755
on th,3048,0.1524,0.3476
 to t,3045,0.15225,0.34775
d to ,3041,0.15205,0.34795
 but,3036,0.1518,0.3482
 bo,3033,0.15165,0.34835
y.,3032,0.1516,0.3484
to th,3030,0.1515,0.34850000000000003
gi,3022,0.1511,0.3489
 in a,3022,0.1511,0.3489
ew,3012,0.1506,0.3494
 bl,3011,0.15055,0.34945000000000004
ls,3011,0.15055,0.34945000000000004
the,16998,0.8499,0.3499
wer,3001,0.15005,0.34995
sc,3000,0.15,0.35
uc,2993,0.14965,0.35035
rm,2991,0.14955,0.35045000000000004
e the,2990,0.1495,0.35050000000000003
n s,2974,0.1487,0.3513
"r, ",2972,0.1486,0.3514
he f,2970,0.1485,0.35150000000000003
"y, ",2969,0.14845,0.35155000000000003
ste,2965,0.14825,0.35175
ar ,2965,0.14825,0.35175
wn,2962,0.1481,0.3519
een ,2959,0.14795,0.35205
ss ,2959,0.14795,0.35205
 by,2958,0.1479,0.35209999999999997
him,2958,0.1479,0.35209999999999997
 be ,2957,0.14785,0.35214999999999996
 man,2951,0.14755,0.35245000000000004
he p,2951,0.14755,0.35245000000000004
out ,2946,0.1473,0.3527
 br,2944,0.1472,0.3528
ey ,2923,0.14615,0.35385
ui,2921,0.14605,0.35395
ou ,2913,0.14565,0.35435
n.,2908,0.1454,0.3546
d f,2905,0.14525,0.35475
ant,2904,0.1452,0.3548
pla,2903,0.14515,0.35485
lin,2902,0.1451,0.3549
s of,2899,0.14495,0.35505
man ,2897,0.14485,0.35514999999999997
thin,2893,0.14465,0.35535
 him,2890,0.1445,0.35550000000000004
ting ,2890,0.1445,0.35550000000000004
o the,2890,0.1445,0.35550000000000004
he m,2888,0.1444,0.3556
s f,2882,0.1441,0.3559
there,2881,0.14405,0.35595
a b,2880,0.144,0.356
ke ,2879,0.14395,0.35605
roun,2877,0.14385,0.35614999999999997
he h,2876,0.1438,0.35619999999999996
 but ,2876,0.1438,0.35619999999999996
h a ,2876,0.1438,0.35619999999999996
ith a,2876,0.1438,0.35619999999999996
ther ,2875,0.14375,0.35625
 by ,2875,0.14375,0.35625
round,2874,0.1437,0.3563
 da,2870,0.1435,0.35650000000000004
ring ,2862,0.1431,0.3569
you ,2861,0.14305,0.35695
 cl,2859,0.14295,0.35705
 i,17144,0.8572,0.35719999999999996
a c,2855,0.14275,0.35725
hav,2850,0.1425,0.35750000000000004
 fe,2850,0.1425,0.35750000000000004
 not ,2849,0.14245,0.35755000000000003
oc,2846,0.1423,0.3577
 un,2838,0.1419,0.3581
he t,2823,0.14115,0.35885
 con,2817,0.14085,0.35914999999999997
ous,2815,0.14075,0.35925
at t,2807,0.14035,0.35965
d a ,2807,0.14035,0.35965
e ha,2806,0.1403,0.3597
hing,2805,0.14025,0.35975
oug,2796,0.1398,0.36019999999999996
d in,2791,0.13955,0.36045
id ,2781,0.13905,0.36095
f a,2781,0.13905,0.36095
ame,2780,0.139,0.361
s of ,2776,0.1388,0.36119999999999997
s in,2775,0.13875,0.36124999999999996
ard,2774,0.1387,0.3613
 th,17229,0.86145,0.36145000000000005
". """,2770,0.1385,0.3615
ough,2768,0.1384,0.36160000000000003
own,2767,0.13835,0.36165
. i,2765,0.13825,0.36175
cu,2761,0.13805,0.36195
ding ,2761,0.13805,0.36195
ure,2760,0.138,0.362
 are ,2758,0.1379,0.3621
rk,2758,0.1379,0.3621
ff,2753,0.13765,0.36235
e e,2745,0.13725,0.36275
ft,2724,0.1362,0.3638
 hav,2723,0.13615,0.36385
old,2720,0.136,0.364
 pl,2719,0.13595,0.36405
ge ,2715,0.13575,0.36424999999999996
ect,2715,0.13575,0.36424999999999996
tra,2711,0.13555,0.36445
nte,2705,0.13525,0.36475
the p,2691,0.13455,0.36545
qu,2682,0.1341,0.3659
r s,2681,0.13405,0.36595
s b,2678,0.1339,0.3661
 ta,2676,0.1338,0.36619999999999997
tan,2675,0.13375,0.36624999999999996
uld ,2670,0.1335,0.3665
the f,2665,0.13325,0.36675
ould ,2664,0.1332,0.3668
d. ,2664,0.1332,0.3668
ned,2663,0.13315,0.36685
d m,2661,0.13305,0.36695
from,2661,0.13305,0.36695
 com,2652,0.1326,0.3674
othe,2646,0.1323,0.3677
e n,2643,0.13215,0.36785
nd s,2642,0.1321,0.3679
de ,2641,0.13205,0.36795
whe,2640,0.132,0.368
 on t,2638,0.1319,0.3681
art,2638,0.1319,0.3681
ist,2637,0.13185,0.36815
lea,2637,0.13185,0.36815
rom ,2637,0.13185,0.36815
ast,2637,0.13185,0.36815
s c,2636,0.1318,0.36819999999999997
from ,2633,0.13165,0.36835
hen ,2633,0.13165,0.36835
 you ,2633,0.13165,0.36835
 she,2630,0.1315,0.3685
sho,2626,0.1313,0.3687
a m,2625,0.13125,0.36875
e co,2624,0.1312,0.3688
au,2618,0.1309,0.3691
 from,2617,0.13085,0.36915
tion ,2617,0.13085,0.36915
 sp,2617,0.13085,0.36915
king,2614,0.1307,0.36929999999999996
have,2611,0.13055,0.36945
bac,2610,0.1305,0.3695
tte,2603,0.13015,0.36985
gro,2599,0.12995,0.37005
at th,2589,0.12945,0.37055
s the,2588,0.1294,0.37060000000000004
 up,2586,0.1293,0.37070000000000003
cou,2577,0.12885,0.37115
g th,2574,0.1287,0.37129999999999996
 or,2574,0.1287,0.37129999999999996
this,2573,0.12865,0.37135
back,2571,0.12855,0.37145
um,2568,0.1284,0.37160000000000004
n',2560,0.128,0.372
 out,2559,0.12795,0.37205
he r,2559,0.12795,0.37205
 a b,2557,0.12785,0.37215
ng th,2554,0.1277,0.37229999999999996
atio,2545,0.12725,0.37275
nd i,2544,0.1272,0.3728
 bac,2541,0.12705,0.37295
my,2539,0.12695,0.37305
he l,2539,0.12695,0.37305
ed th,2534,0.1267,0.37329999999999997
ds ,2534,0.1267,0.37329999999999997
other,2532,0.1266,0.3734
 have,2531,0.12655,0.37345
