word,conc
accountable,0.2954545454545454
accountableness,0.08838383838383836
accountably,0.21969696969696967
accountancy,0.1616161616161616
accountant,0.851010101010101
accounting,0.5631313131313131
accredit,0.2803030303030303
accreditation,0.4141414141414142
accredited,0.3106060606060606
accrue,0.14393939393939395
accruement,0.35858585858585856
accumulate,0.494949494949495
accumulation,0.4873737373737374
accumulative,0.38383838383838387
accumulatively,0.3333333333333333
accumulativeness,0.2222222222222222
accumulator,0.4040404040404041
accuracy,0.20454545454545456
accurate,0.21717171717171715
accurately,0.34090909090909094
accurateness,0.3232323232323232
accursed,0.22474747474747472
accusable,0.21969696969696967
accusation,0.33838383838383834
accusative,0.14141414141414144
accusatively,0.1515151515151515
accusatorial,0.23232323232323232
accusatory,0.2803030303030303
accuse,0.3055555555555555
